game,state,date,position,result
CORUJA,RJ,2018-12-05,1,7150
CORUJA,RJ,2018-12-05,2,3157
CORUJA,RJ,2018-12-05,3,4259
CORUJA,RJ,2018-12-05,4,7391
CORUJA,RJ,2018-12-05,5,0477
CORUJA,RJ,2018-12-05,6,2434
CORUJA,RJ,2018-11-05,1,4015
CORUJA,RJ,2018-11-05,2,3063
CORUJA,RJ,2018-11-05,3,5946
CORUJA,RJ,2018-11-05,4,8759
CORUJA,RJ,2018-11-05,5,1973
CORUJA,RJ,2018-11-05,6,3756
CORUJA,RJ,2018-11-05,1,4015
CORUJA,RJ,2018-11-05,2,3063
CORUJA,RJ,2018-11-05,3,5946
CORUJA,RJ,2018-11-05,4,8759
CORUJA,RJ,2018-11-05,5,1973
CORUJA,RJ,2018-11-05,6,3756
CORUJA,RJ,2018-10-05,1,5544
CORUJA,RJ,2018-10-05,2,5167
CORUJA,RJ,2018-10-05,3,3226
CORUJA,RJ,2018-10-05,4,8004
CORUJA,RJ,2018-10-05,5,4981
CORUJA,RJ,2018-10-05,6,6922
CORUJA,RJ,2018-10-05,1,5544
CORUJA,RJ,2018-10-05,2,5167
CORUJA,RJ,2018-10-05,3,3226
CORUJA,RJ,2018-10-05,4,8004
CORUJA,RJ,2018-10-05,5,4981
CORUJA,RJ,2018-10-05,6,6922
PT,RJ,2018-05-21,1,9159
PT,RJ,2018-05-21,2,7284
PT,RJ,2018-05-21,3,1029
PT,RJ,2018-05-21,4,2582
PT,RJ,2018-05-21,5,6956
PT,RJ,2018-05-21,6,7010
PT,RJ,2018-05-20,1,5359
PT,SP,2018-05-20,20,2018
PT,SP,2018-05-20,1,4703
PT,SP,2018-05-20,2,5606
PT,SP,2018-05-20,3,2821
PT,SP,2018-05-20,4,8576
PT,SP,2018-05-20,5,6091
PT,SP,2018-05-20,6,8797
PT,SP,2018-05-19,19,2018
PT,RJ,2018-05-20,2,1765
PT,RJ,2018-05-20,3,2735
PT,RJ,2018-05-20,4,2156
PT,RJ,2018-05-20,5,8596
PT,RJ,2018-05-20,6,0611
PT,RJ,2018-05-19,1,1471
PT,RJ,2018-05-19,2,4915
PT,RJ,2018-05-19,3,9628
PT,RJ,2018-05-19,4,1119
PT,RJ,2018-05-19,5,7138
PT,RJ,2018-05-19,6,4271
PT,RJ,2018-05-18,1,9833
PTM,RJ,2018-06-05,1,4418
PTM,RJ,2018-06-05,2,1273
PTM,RJ,2018-06-05,3,3612
PTM,RJ,2018-06-05,4,5551
PT,SP,2018-05-19,1,9864
PT,SP,2018-05-19,2,9402
PT,SP,2018-05-19,3,6931
PT,SP,2018-05-19,4,4594
PT,SP,2018-05-19,5,0560
PT,SP,2018-05-19,6,1351
PTN,SP,2018-05-18,18,2018
PTN,SP,2018-05-18,1,5651
PTN,SP,2018-05-18,2,0154
PTN,SP,2018-05-18,3,4076
PTN,SP,2018-05-18,4,2071
PTN,SP,2018-05-18,5,7025
PTN,SP,2018-05-18,6,8977
PT,SP,2018-05-18,18,2018
PT,SP,2018-05-18,1,7807
PT,RJ,2018-05-18,2,0007
PT,RJ,2018-05-18,3,0032
PT,RJ,2018-05-18,4,5009
PT,RJ,2018-05-18,5,5511
PT,RJ,2018-05-18,6,0392
PT,RJ,2018-05-17,1,7223
PT,RJ,2018-05-17,2,8687
PT,RJ,2018-05-17,3,6529
PT,RJ,2018-05-17,4,3165
PT,RJ,2018-05-17,5,5830
PT,RJ,2018-05-17,6,1434
PT,RJ,2018-05-16,1,2867
PTM,RJ,2018-06-05,5,8880
PTM,RJ,2018-06-05,6,3734
PTM,RJ,2018-05-05,1,9723
PTM,RJ,2018-05-05,2,8565
PTM,RJ,2018-05-05,3,0697
PTM,RJ,2018-05-05,4,6149
PTM,RJ,2018-05-05,5,4374
PTM,RJ,2018-05-05,6,9508
PTM,RJ,2018-04-05,1,7309
PTM,RJ,2018-04-05,2,1479
PTM,RJ,2018-04-05,3,3072
PT,SP,2018-05-18,2,8814
PT,SP,2018-05-18,3,8910
PT,SP,2018-05-18,4,9862
PT,SP,2018-05-18,5,2717
PT,SP,2018-05-18,6,8110
PTN,SP,2018-05-17,17,2018
PTN,SP,2018-05-17,1,4769
PTN,SP,2018-05-17,2,3167
PTN,SP,2018-05-17,3,7821
PTN,SP,2018-05-17,4,0141
PTN,SP,2018-05-17,5,6382
PTN,SP,2018-05-17,6,2280
PT,SP,2018-05-17,17,2018
PT,SP,2018-05-17,1,2689
PT,SP,2018-05-17,2,9978
PT,RJ,2018-05-16,2,8360
PT,RJ,2018-05-16,3,8073
PT,RJ,2018-05-16,4,8245
PT,RJ,2018-05-16,5,4709
PT,RJ,2018-05-16,6,2254
PT,RJ,2018-05-15,15,2018
PT,RJ,2018-05-15,1,9679
PT,RJ,2018-05-15,2,6104
PT,RJ,2018-05-15,3,6212
PT,RJ,2018-05-15,4,5666
PT,RJ,2018-05-15,5,1796
PTM,RJ,2018-04-05,4,7523
PTM,RJ,2018-04-05,5,2049
PTM,RJ,2018-04-05,6,1439
PTM,RJ,2018-04-05,7,0810
PTM,RJ,2018-03-05,1,3816
PTM,RJ,2018-03-05,2,7330
PTM,RJ,2018-03-05,3,0850
PTM,RJ,2018-03-05,4,9340
PTM,RJ,2018-03-05,5,9904
PTM,RJ,2018-03-05,6,1240
PTM,RJ,2018-02-05,1,0217
PT,SP,2018-05-17,3,6773
PT,SP,2018-05-17,4,5140
PT,SP,2018-05-17,5,8159
PT,SP,2018-05-17,6,2739
PT,SP,2018-05-16,16,2018
PT,SP,2018-05-16,1,4242
PT,SP,2018-05-16,2,6608
PT,SP,2018-05-16,3,6487
PT,SP,2018-05-16,4,8967
PT,SP,2018-05-16,5,9812
PT,SP,2018-05-16,6,6116
PTM,RJ,2018-02-05,2,6904
PTM,RJ,2018-02-05,3,2598
PTM,RJ,2018-02-05,4,5230
PTM,RJ,2018-02-05,5,2834
PTM,RJ,2018-02-05,6,7783
PTM,RJ,2018-01-05,1,5341
PTM,RJ,2018-01-05,2,0575
PTM,RJ,2018-01-05,3,4085
PTM,RJ,2018-01-05,4,0117
PTM,RJ,2018-01-05,5,2444
PTM,RJ,2018-01-05,6,2562
PTM,RJ,2018-04-30,1,4914
PTM,RJ,2018-04-30,2,2850
PTM,RJ,2018-04-30,3,5932
PTM,RJ,2018-04-30,4,9607
PTM,RJ,2018-04-30,5,1412
PTM,RJ,2018-04-30,6,4715
CORUJA,RJ,2018-09-05,1,7065
CORUJA,RJ,2018-09-05,2,6503
CORUJA,RJ,2018-09-05,3,6586
CORUJA,RJ,2018-09-05,4,4434
